Articulo,Descripcion,Rubro,CON EL 20%,Stock,img
5-057,ANTIOXIDO ROJO 4 LTS,PINTURA,"$23,555.82",20,
1-295-AD,APLIQUE PARED DICRO CUADRADO BIDIRECCIONAL (B/20),ELECTRICIDAD,"$17,486.61",20,
1-294-AD,APLIQUE PARED DICRO CUADRADO UNIDIRECCIONAL (B/20),ELECTRICIDAD,"$14,057.87",20,
1-293-AD,APLIQUE PARED DICRO REDONDO BIDIRECCIONAL (B/20),ELECTRICIDAD,"$17,486.61",20,
1-292-AD,APLIQUE PARED DICRO REDONDO UNIDIRECCIONAL (B/20),ELECTRICIDAD,"$13,555.80",20,
1-002,AR 111 LUZ CALIDA 12W,ELECTRICIDAD,"$4,927.24",20,
1-003,AR 111 LUZ FRIA 12W,ELECTRICIDAD,"$4,927.24",20,
2-026M,ARCO SIERRA MANGO DE MADERA 12´,FERRETERIA,"$3,639.38",20,
2-026,"ARCO SIERRA MANGO DE METAL 12""",FERRETERIA,"$4,834.87",20,
1-004,AUTOMATICO P/ TANQUE,ELECTRICIDAD,"$7,058.67",20,
5-058,BARNIZ MARINO EXTERIOR INTERIOR 1 LT,PINTURA,"$7,388.66",20,
5-059,BARNIZ MARINO EXTERIOR INTERIOR 1/2 LT,PINTURA,"$4,686.61",20,
5-060,BARNIZ MARINO EXTERIOR INTERIOR 1/4 LT,PINTURA,"$3,261.16",20,
5-061,BARNIZ MARINO EXTERIOR INTERIOR 4 LTS,PINTURA,"$28,157.33",20,
4-007,BARRA DE SILICONA 11MM X 30CM,PEGAMENTO,"$5,999.55",20,
4-008,BARRA DE SILICONA 7MM X 30CM,PEGAMENTO,"$5,999.55",20,
1-005,BASE MULTIFICHA PATA CHATA,ELECTRICIDAD,"$1,573.34",20,
2-034,BATERIA ALCALINA 9V,FERRETERIA,"$2,738.14",20,
2-035-12,BLISTER CANDADO VALIJERO X 12 PIEZAS 20 MM,FERRETERIA,"$14,190.64",20,
2-025-,BLISTER CEPILLO TALADRO X 3 PIEZAS,FERRETERIA,"$3,802.51",20,
2-057,BLISTER CUTTER X 12,FERRETERIA,"$3,275.53",20,
2-785-DIB,BLISTER DESTORNILLADOR IMANTADO  X 6,FERRETERIA,"$4,015.17",20,
2-032,BLISTER LAPIZ CARPINTERO CUADRADO X,FERRETERIA,"$3,388.59",20,
2-038-P,BLISTER MECHA PALA X 6 UND,FERRETERIA,"$6,542.56",20,
1-400-M,BLISTER MECHA PARA MADERA 5 PIEZAS,FERRETERIA,"$2,579.81",20,
1-059,BLISTER PILA CANDELA ALCALINA C X 2 UN (B/96),FERRETERIA,"$1,716.24",20,
11-001,BLISTER SIERRA PARA CALADORA,FERRETERIA,"$1,828.08",20,
1-055,BLISTER X  10 CINTA AISLADORA AMARILLA 10MTS,ELECTRICIDAD,"$5,466.85",20,
1-060,BLISTER X  10 CINTA AISLADORA ROJA 10MTS,ELECTRICIDAD,"$5,389.55",20,
4-003,"BLISTER X ""6"" ADHESIVO INSTANTANEO TIPO GOTITA LIQUIDO 2 GRS",PEGAMENTO,"$2,705.60",20,
1-056,BLISTER X 10 CINTA AISLADORA AZUL 10MTS,ELECTRICIDAD,"$5,389.55",20,
1-057,BLISTER X 10 CINTA AISLADORA BLANCA 10MTS,ELECTRICIDAD,"$5,389.55",20,
1-058,BLISTER X 10 CINTA AISLADORA NEGRA 10MTS,ELECTRICIDAD,"$5,389.55",20,
1-059,BLISTER X 10 CINTA AISLADORA NEGRA 20MTS,ELECTRICIDAD,"$10,230.11",20,
2-014,BLISTER X 10 PILAS ALCALINAS AA,FERRETERIA,"$5,295.94",20,
2-015,BLISTER X 10 PILAS ALCALINAS AAA,FERRETERIA,"$5,295.94",20,
2-052-ALTA,BLISTER X 10 TEFLON ALTA DENSIDAD 1/2 X 10M,FERRETERIA,"$5,711.30",20,
2-053-ALTA,BLISTER X 10 TEFLON ALTA DENSIDAD 3/4 X 10 M,FERRETERIA,"$8,230.06",20,
2-052,BLISTER X 10 TEFLON STANDAR 1/2 X 10M,FERRETERIA,"$2,804.27",20,
2-053,BLISTER X 10 TEFLON STANDAR 3/4 X 10M,FERRETERIA,"$3,817.86",20,
2-033,BLISTER X 2 PILAS ALCALINAS D,FERRETERIA,"$2,574.34",20,
2-021,BLISTER X 5 PILA BOTON CR 2016 X5 UN,FERRETERIA,"$1,568.52",20,
2-020,BLISTER X 5 PILA BOTON CR 2025 X 5 UN,FERRETERIA,"$1,568.52",20,
2-019,BLISTER X 5 PILA BOTON CR 2032 X 5 UN,FERRETERIA,"$1,568.52",20,
12-039-D,BLISTER X 5 SOLUCION DE GOMA,FERRETERIA,"$4,635.07",20,
4-002,BLISTER X 6 ADHESIVO INSTANTANEO TIPO GOTITA GEL 3 GRS,PEGAMENTO,"$4,758.75",20,
SG-041-TF2,BLISTER X 6 ADHESIVO TEKFAST LIQUIDO 2 GRS,PINTURA,"$2,222.15",20,
2-004,"BLISTER X 6 CINTA DE EMBALAR MARRON 4,8 * 41M",FERRETERIA,"$7,488.70",20,
2-006,"BLISTER X 6 CINTA DE EMBALAR TRANSPARENRTE 4,8 * 41M",FERRETERIA,"$7,881.98",20,
SG-090-ZP,BLISTER X 6 ZAPATEK X 9 GRS,PINTURA,"$14,379.83",20,
1-009-B,"BOBINA 400 MTS REFLEX  CABLE DE COBRE PARALELO 2,5",ELECTRICIDAD,"$299,666.32",20,
1-008-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE PARALELO 1,5",ELECTRICIDAD,"$230,875.00",20,
1-010-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 2 X 1,5",ELECTRICIDAD,"$452,326.52",20,
1-011-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 2 X 2,5",ELECTRICIDAD,"$652,104.06",20,
1-011-B2,BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 2 X 4,ELECTRICIDAD,"$1,000,772.42",20,
1-011-B4,BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 2 X 6,ELECTRICIDAD,"$1,399,385.17",20,
1-011-B5,"BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 3 X 2,5",ELECTRICIDAD,"$980,040.78",20,
1-018-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR BLANCO 1,5",ELECTRICIDAD,"$141,352.03",20,
1-019-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR BLANCO 2,5",ELECTRICIDAD,"$210,143.36",20,
1-020-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR BLANCO 4,ELECTRICIDAD,"$364,688.26",20,
1-016-CB,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR CELESTE 1.5,ELECTRICIDAD,"$141,352.03",20,
1-016-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR CELESTE 2,5",ELECTRICIDAD,"$210,143.36",20,
1-017-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR CELESTE 4,ELECTRICIDAD,"$364,688.26",20,
1-021-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR MARRON 1,5",ELECTRICIDAD,"$141,352.03",20,
1-022-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR MARRON 2,5",ELECTRICIDAD,"$210,143.36",20,
1-023-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR MARRON 4,ELECTRICIDAD,"$364,688.26",20,
1-024-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR NEGRO 1,5",ELECTRICIDAD,"$141,352.03",20,
1-025-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR NEGRO 2,5",ELECTRICIDAD,"$210,143.36",20,
1-026-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR NEGRO 4,ELECTRICIDAD,"$364,688.26",20,
1-027-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR ROJO 1,5",ELECTRICIDAD,"$141,352.03",20,
1-028-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR ROJO 2,5",ELECTRICIDAD,"$210,143.36",20,
1-029-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR ROJO 4,ELECTRICIDAD,"$364,688.26",20,
1-030-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR V Y A 1,5",ELECTRICIDAD,"$141,352.03",20,
1-031-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR V Y A 2,5",ELECTRICIDAD,"$210,143.36",20,
1-032-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR V Y A 4,ELECTRICIDAD,"$364,688.26",20,
