
Articulo,Descripcion,Rubro,CON EL 20%
1-400-M,BLISTER MECHA PARA MADERA 5 PIEZAS,FERRETERIA,"$ 2,579.81"
1-059,BLISTER PILA CANDELA ALCALINA C X 2 UN (B/96),FERRETERIA,"$ 1,716.24"
11-001,BLISTER SIERRA PARA CALADORA,FERRETERIA,"$ 1,828.08"
1-055,BLISTER X  10 CINTA AISLADORA AMARILLA 10MTS,ELECTRICIDAD,"$ 5,466.85"
1-060,BLISTER X  10 CINTA AISLADORA ROJA 10MTS,ELECTRICIDAD,"$ 5,389.55"
4-003,"BLISTER X ""6"" ADHESIVO INSTANTANEO TIPO GOTITA LIQUIDO 2 GRS",PEGAMENTO,"$ 2,705.60"
1-056,BLISTER X 10 CINTA AISLADORA AZUL 10MTS,ELECTRICIDAD,"$ 5,389.55"
1-057,BLISTER X 10 CINTA AISLADORA BLANCA 10MTS,ELECTRICIDAD,"$ 5,389.55"
1-058,BLISTER X 10 CINTA AISLADORA NEGRA 10MTS,ELECTRICIDAD,"$ 5,389.55"
1-059,BLISTER X 10 CINTA AISLADORA NEGRA 20MTS,ELECTRICIDAD,"$ 10,230.11"
2-014,BLISTER X 10 PILAS ALCALINAS AA,FERRETERIA,"$ 5,295.94"
2-015,BLISTER X 10 PILAS ALCALINAS AAA,FERRETERIA,"$ 5,295.94"
2-052-ALTA,BLISTER X 10 TEFLON ALTA DENSIDAD 1/2 X 10M,FERRETERIA,"$ 5,711.30"
2-053-ALTA,BLISTER X 10 TEFLON ALTA DENSIDAD 3/4 X 10 M,FERRETERIA,"$ 8,230.06"
2-052,BLISTER X 10 TEFLON STANDAR 1/2 X 10M,FERRETERIA,"$ 2,804.27"
2-053,BLISTER X 10 TEFLON STANDAR 3/4 X 10M,FERRETERIA,"$ 3,817.86"
2-033,BLISTER X 2 PILAS ALCALINAS D,FERRETERIA,"$ 2,574.34"
2-021,BLISTER X 5 PILA BOTON CR 2016 X5 UN,FERRETERIA,"$ 1,568.52"
2-020,BLISTER X 5 PILA BOTON CR 2025 X 5 UN,FERRETERIA,"$ 1,568.52"
2-019,BLISTER X 5 PILA BOTON CR 2032 X 5 UN,FERRETERIA,"$ 1,568.52"
12-039-D,BLISTER X 5 SOLUCION DE GOMA,FERRETERIA,"$ 4,635.07"
4-002,BLISTER X 6 ADHESIVO INSTANTANEO TIPO GOTITA GEL 3 GRS,PEGAMENTO,"$ 4,758.75"
SG-041-TF2,BLISTER X 6 ADHESIVO TEKFAST LIQUIDO 2 GRS,PINTURA,"$ 2,222.15"
2-004,"BLISTER X 6 CINTA DE EMBALAR MARRON 4,8 * 41M",FERRETERIA,"$ 7,488.70"
2-006,"BLISTER X 6 CINTA DE EMBALAR TRANSPARENRTE 4,8 * 41M",FERRETERIA,"$ 7,881.98"
SG-090-ZP,BLISTER X 6 ZAPATEK X 9 GRS,PINTURA,"$ 14,379.83"
1-009-B,"BOBINA 400 MTS REFLEX  CABLE DE COBRE PARALELO 2,5",ELECTRICIDAD,"$ 299,666.32"
1-008-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE PARALELO 1,5",ELECTRICIDAD,"$ 230,875.00"
1-010-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 2 X 1,5",ELECTRICIDAD,"$ 452,326.52"
1-011-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 2 X 2,5",ELECTRICIDAD,"$ 652,104.06"
1-011-B2,BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 2 X 4,ELECTRICIDAD,"$ 1,000,772.42"
1-011-B4,BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 2 X 6,ELECTRICIDAD,"$ 1,399,385.17"
1-011-B5,"BOBINA 500 MTS REFLEX  CABLE DE COBRE TIPO TALLER 3 X 2,5",ELECTRICIDAD,"$ 980,040.78"
